time,ServerTime,IMEI,OdoTotal,OdoTrip,Altitude,Speed,SpeedSat,Latitude,Longitude,Angle,IgnitionStatus,Movement,DLAxle1LAX,DLAxle1LAY,DLAxle1LAZ,DLAxle1LGX,DLAxle1LGY,DLAxle1LGZ,DLAxle1LRMSZ,DLAxle1LZMIN,DLAxle1LZMAX,DLAxle1RAX,DLAxle1RAY,DLAxle1RAZ,DLAxle1RGX,DLAxle1RGY,DLAxle1RGZ,DLAxle1RRMSZ,DLAxle1RZMIN,DLAxle1RZMAX,DLAxle2LAX,DLAxle2LAY,DLAxle2LAZ,DLAxle2LGX,DLAxle2LGY,DLAxle2LGZ,DLAxle2LRMSZ,DLAxle2LZMIN,DLAxle2LZMAX,DLAxle2RAX,DLAxle2RAY,DLAxle2RAZ,DLAxle2RGX,DLAxle2RGY,DLAxle2RGZ,DLAxle2RRMSZ,DLAxle2RZMIN,DLAxle2RZMAX,DLKingpinAX,DLKingpinAY,DLKingpinAZ,DLKingpinGX,DLKingpinGY,DLKingpinGZ,DLKingpinRMSZ,DLKingpinZMIN,DLKingpinZMAX,DLSpare1AX,DLSpare1AY,DLSpare1AZ,DLSpare1GX,DLSpare1GY,DLSpare1GZ,DLSpare1RMSZ,DLSpare1ZMIN,DLSpare1ZMAX,DLSpare2AX,DLSpare2AY,DLSpare2AZ,DLSpare2GX,DLSpare2GY,DLSpare2GZ,DLSpare2RMSZ,DLSpare2ZMIN,DLSpare2ZMAX,DLSpecialAX,DLSpecialAY,DLSpecialAZ,DLSpecialGX,DLSpecialGY,DLSpecialGZ,DLSpecialRMSZ,DLSpecialZMIN,DLSpecialZMAX,FMCAxisX,FMCAxisY,FMCAxisZ,SystemPressure,DemandPressure,EBSPressure,BrakeApplicationPressureH,BrakeApplicationPressureL,VIN,TrailerLoadPercent,VDCActive,WheelBasedVehSpeed,ABPresLHRear,ABPresLHMid,ABPresLHFront,ABPresRHFront,ABPresRHMid,ABPresRHRear,AxleLoadLHRear,AxleLoadLHFront,AxleLoadRHFront,AxleLoadRHRear,AxleLoadLHCentre,AxleLoadRHCentre,SatellitesCount,GNSSStatus,GSMSignal,GNSSPdop,GNSSHdop,DataMode,VoltageTrailer,VoltageBattery,CurrentBattery,Event,Priority,NumOfRecords
2026-04-06 12:47:29.175,2026-04-06 13:39:02.482,863719065663149,123000,1,0,70,0,-20.706924,140.508853,0,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.000,0.000,-0.001,16.331,7.102,0.654,0.000,-0.003,0.001,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.009,-0.005,0.979,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.000,0.001,0.001,0.003,0.002,0.001,350.000,351.085,353.254,351.085,350.542,352.169,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.449,0.000,0,0,0,2260
2026-04-06 13:37:12.227,2026-04-06 13:39:02.620,863719065663149,123000,1,0,70,0,-20.806924,140.408853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.007,-0.007,0.981,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.000,0.002,0.004,0.001,0.002,0.003,350.000,354.339,351.085,353.254,352.169,352.169,0,P-HOLDER GNSSStatus,3,0.0,0.0,Unknown On Moving,13.692,0.000,0,0,0,1
2026-04-06 13:37:13.227,2026-04-06 13:39:02.804,863719065663149,123000,1,0,70,0,-20.906924,140.308853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.009,-0.005,0.982,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.001,0.005,0.009,0.001,0.001,0.000,351.085,359.762,351.085,350.000,355.423,350.542,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.673,0.000,0,0,0,2
2026-04-06 13:37:14.227,2026-04-06 13:39:02.972,863719065663149,123000,1,0,70,0,-21.006924,140.208853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.006,-0.009,0.983,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.001,0.005,0.008,0.002,0.002,0.001,351.085,358.677,352.169,351.085,354.881,351.627,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.673,0.000,0,0,0,3
2026-04-06 13:37:15.227,2026-04-06 13:39:03.124,863719065663149,123000,1,0,70,0,-21.106924,140.108853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.005,-0.007,0.984,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.000,0.001,0.002,0.002,0.002,0.001,350.000,352.169,352.169,351.085,351.085,351.627,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.687,0.000,0,0,0,4
2026-04-06 13:37:16.227,2026-04-06 13:39:03.276,863719065663149,123000,2,0,70,0,-21.206924,140.008853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.006,-0.005,0.982,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.001,0.003,0.005,0.013,0.007,0.000,351.085,355.423,364.100,350.000,353.254,357.050,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.672,0.000,0,0,0,5
2026-04-06 13:37:17.227,2026-04-06 13:39:03.441,863719065663149,123000,2,0,70,0,-21.306924,139.908853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.006,-0.007,0.982,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.000,0.001,0.001,0.004,0.002,0.000,350.000,351.085,354.339,350.000,350.542,352.169,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.655,0.000,0,0,0,6
2026-04-06 13:37:18.227,2026-04-06 13:39:03.565,863719065663149,123000,2,0,70,0,-21.406924,139.808853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.008,-0.007,0.980,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.000,0.001,0.001,0.000,0.002,0.003,350.000,351.085,350.000,353.254,350.542,351.627,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.640,0.000,0,0,0,7
2026-04-06 13:37:19.227,2026-04-06 13:39:03.734,863719065663149,123000,2,0,70,0,-21.506924,139.708853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.005,-0.009,0.982,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.000,0.001,0.001,0.001,0.002,0.003,350.000,351.085,351.085,353.254,350.542,352.169,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.689,0.000,0,0,0,8
2026-04-06 13:37:20.228,2026-04-06 13:39:03.965,863719065663149,123000,2,0,70,0,-21.606924,139.608853,4,ON,ON,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,8.000,8.000,8.000,180.000,180.000,180.000,2.828,8.000,8.000,0.007,-0.005,0.981,65528,65528,65528,65528,65528,VIN_FMC_TEST,255,P-HOLDER VDC,65535.996,0.001,0.001,0.000,0.001,0.002,0.002,351.085,350.000,351.085,352.169,350.542,351.627,0,P-HOLDER GNSSStatus,3,0.0,0.0,Home On Moving,13.683,0.000,0,0,0,9
